MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,Cargo,TransceiverClass
303398000,2023-01-01T00:14:50,48.0871,-122.68407,7.1,163.8,168,TAURUS,IMO7941021,WYH6499,31,0,27,8,3,31,A
367433770,2023-01-01T00:15:28,47.65955,-122.3801,0,250.2,6,DEFENDER,IMO7332062,WDF2949,30,0,59,12,4.9,30,A
368181970,2023-01-01T00:15:29,33.61287,-117.9243,0,360,75,MAI TAI,IMO0000000,WDL 975,37,,25,6,,,B
368029640,2023-01-01T00:15:02,40.7017,-74.00344,5.3,50.6,511,THE MANHATTAN II,,WDJ9810,99,0,38,11,2.1,99,A
367548540,2023-01-01T00:15:31,48.49301,-122.68208,0,360,185,KOINONIA,IMO0000000,WDG5623,37,,15,4,,,B
215514000,2023-01-01T00:15:04,24.5523,-79.90992,14,64.2,65,SEAVELVET,IMO9843211,9HA5155,80,0,237,44,13.4,80,A
636016647,2023-01-01T00:15:33,25.23406,-79.65762,16.9,179.9,179,CAP PALLISER,IMO9344679,A8OH4,70,0,186,27,11.3,71,A
247434600,2023-01-01T00:15:10,32.78357,-119.04663,12.5,293.3,292,VALLE SOLE,IMO9635781,ICIO,89,0,183,32,8.5,89,A
368087450,2023-01-01T00:15:36,38.9294,-76.54121,0.1,345.5,511,APELLE,IMO0000000,WDK7750,36,,14,8,,,B
367440310,2023-01-01T00:15:11,48.10649,-122.78227,0,5.2,511,SUNWARD,,WDF3473,30,0,18,5,,30,A
368181760,2023-01-01T00:15:39,18.33696,-64.9398,0,360,511,CIAO FOR NOW,IMO0000000,WDL9735,36,,14,7,,,B
367529420,2023-01-01T00:15:24,47.57364,-122.35761,0,265,511,ISLAND VENTURE,IMO7730525,WDG3765,31,0,31,10,3.7,0,A
367199750,2023-01-01T00:15:24,38.2593,-85.75565,0,0,511,BELLE OF LOUISVILLE,,WF6270,60,15,52,14,,6,A
367114740,2023-01-01T00:15:25,41.21179,-73.0517,0,146.8,305,VICTOR LOOSANOFF,,WDD2393,90,5,14,,,38,A
367192710,2023-01-01T00:15:24,28.93234,-89.40752,0.1,169.3,511,BAR PILOT,,WDD7896,60,15,15,5,,50,A
367517760,2023-01-01T00:15:25,30.05402,-90.56704,0,16.5,511,MARY WEPFER,,WDG2646,31,15,17,7,,31,A
367121040,2023-01-01T00:14:05,41.49719,-81.72219,0,234.8,55,AMERICAN COURAGE,IMO7634226,WDD2879,70,0,193,20,8.3,70,A
368144240,2023-01-01T00:15:26,37.85814,-122.48084,0.1,129.5,211,GINARD,,WDL5767,37,5,20,6,0,37,A
367397320,2023-01-01T00:14:30,47.3339,-122.57753,0,0,511,KOINONIA,,WDE7763,37,5,18,5,,37,A
367534590,2023-01-01T00:13:55,29.23848,-90.20986,0,273.8,511,MICHAEL EYMARD,IMO9641510,WDG4253,90,5,39,20,2.4,99,A
368055000,2023-01-01T00:15:02,27.46542,-82.68617,0,8.7,511,EAGLE EYE,,WST3794,30,,18,6,,,B
366995010,2023-01-01T00:14:11,37.26798,-76.1408,10.2,1,3,BETH M MCALLISTER,IMO8980919,WCZ8598,31,0,33,9,4.3,52,A
538070284,2023-01-01T00:14:14,26.08687,-80.18413,0,268.3,511,COSTA BRAVA III,,V7LE5,37,0,,,,0,A
367725870,2023-01-01T00:15:03,40.66586,-74.05679,0,171.9,511,TAFT BEACH,IMO8886589,WDI7151,31,3,24,7,,52,A
367517760,2023-01-01T00:14:17,30.054,-90.56704,0,16.5,511,MARY WEPFER,,WDG2646,31,15,17,7,,31,A
367005280,2023-01-01T00:15:12,30.04595,-90.66718,5.6,243,240,CREOLE ANN,,WDC3286,31,0,18,7,,57,A
